ProblemSize,Threads,SequentialTime,ParallelTime,Speedup,Efficiency
500000,4,0.031000,0.000000,0.000000,0.000000
1000000,4,0.047000,0.015000,3.133333,0.783333
1500000,4,0.063000,0.015000,4.200000,1.050000
2000000,4,0.078000,0.032000,2.437500,0.609375
2500000,4,0.093000,0.032000,2.906250,0.726563
3000000,4,0.110000,0.031000,3.548387,0.887097
3500000,4,0.140000,0.031000,4.516129,1.129032
4000000,4,0.156000,0.031000,5.032258,1.258065
4500000,4,0.172000,0.047000,3.659574,0.914894
5000000,4,0.187000,0.063000,2.968254,0.742063
