Variant,N,LocalSize,KernelTime,Speedup,Efficiency
opencl,100000,32,0.002106,7.121263,0.002279
opencl,100000,64,0.002502,5.996086,0.003836
opencl,100000,128,0.002291,6.548251,0.008374
opencl,100000,256,0.002305,6.507524,0.016643
opencl,250000,32,0.008342,3.716356,0.000476
opencl,250000,64,0.008368,3.704532,0.000948
opencl,250000,128,0.008356,3.709980,0.001899
opencl,250000,256,0.009544,3.248223,0.003325
opencl,500000,32,0.025010,3.118731,0.000200
opencl,500000,64,0.024629,3.166966,0.000405
opencl,500000,128,0.024303,3.209534,0.000821
opencl,500000,256,0.024728,3.154376,0.001614
opencl,750000,32,0.044336,2.819371,0.000120
opencl,750000,64,0.044002,2.840760,0.000242
opencl,750000,128,0.044729,2.794592,0.000477
opencl,750000,256,0.045178,2.766842,0.000944
opencl,1000000,32,0.067258,2.780323,0.000089
opencl,1000000,64,0.066503,2.811918,0.000180
opencl,1000000,128,0.066464,2.813564,0.000360
opencl,1000000,256,0.066315,2.819864,0.000722
opencl,1250000,32,0.092774,2.867170,0.000073
opencl,1250000,64,0.091656,2.902150,0.000149
opencl,1250000,128,0.092768,2.867360,0.000294
opencl,1250000,256,0.091837,2.896422,0.000593
opencl,1500000,32,0.120096,2.856054,0.000061
opencl,1500000,64,0.119796,2.863208,0.000122
opencl,1500000,128,0.119908,2.860518,0.000244
opencl,1500000,256,0.119785,2.863452,0.000489
opencl,1750000,32,0.151473,2.686945,0.000049
opencl,1750000,64,0.150099,2.711545,0.000099
opencl,1750000,128,0.151210,2.691621,0.000197
opencl,1750000,256,0.151017,2.695052,0.000394
opencl,2000000,32,0.184202,2.714408,0.000043
opencl,2000000,64,0.182902,2.733708,0.000087
opencl,2000000,128,0.182765,2.735760,0.000175
opencl,2000000,256,0.182519,2.739444,0.000351
opencl,2250000,32,0.218802,2.929587,0.000042
opencl,2250000,64,0.250624,2.557616,0.000073
opencl,2250000,128,0.311521,2.057644,0.000117
opencl,2250000,256,0.378991,1.691335,0.000192
